name,id,nametype,recclass,mass (g),fall,year,reclat,reclong,GeoLocation,log_mass,fall_binary,reclong_norm,country,continent,dist_equator_km,cluster
Lixna,14670,Valid,H4,5213.0,Fell,1820.0,56.0,26.43333,"(56.0, 26.43333)",8.559102594493448,1,26.43333000000001,Latvia,Europe,6233.92,2
Lodran,14675,Valid,Lodranite,1000.0,Fell,1868.0,29.53333,71.8,"(29.53333, 71.8)",6.90875477931522,1,71.80000000000001,Pakistan,Asia,3287.6502956,5
Lohawat,14678,Valid,Howardite,40000.0,Fell,1994.0,26.96556,72.62667,"(26.96556, 72.62667)",10.59665973278358,1,72.62666999999999,India,Asia,3001.8061392,4
Lorton,52843,Valid,L6,329.7,Fell,2010.0,38.70066,-77.21163,"(38.70066, -77.21163)",5.801211619987747,1,-77.21163,United States of America,North America,4308.157471199999,3
Los Martinez,14708,Valid,L6,25.0,Fell,1894.0,38.0,-0.83333,"(38.0, -0.83333)",3.258096538021482,1,-0.8333299999999895,Spain,Europe,4230.16,1
Lost City,14711,Valid,H5,17000.0,Fell,1970.0,36.00833,-95.15,"(36.00833, -95.15)",9.741027444837728,1,-95.15,United States of America,North America,4008.4472956,0
Louisville,14716,Valid,L6,1300.0,Fell,1977.0,38.25,-85.75,"(38.25, -85.75)",7.170888478512505,1,-85.75,United States of America,North America,4257.99,3
Łowicz,14718,Valid,Mesosiderite-A3,59000.0,Fell,1935.0,52.0,19.91667,"(52.0, 19.91667)",10.985309671896765,1,19.91667000000001,Poland,Europe,5788.639999999999,4
Lua,14721,Valid,L5,9241.0,Fell,1926.0,24.95,75.15,"(24.95, 75.15)",9.131513591430211,1,75.15,India,Asia,2777.434,5
Lucé,14724,Valid,L6,3500.0,Fell,1768.0,47.85,0.48333,"(47.85, 0.48333)",8.160803920954665,1,0.4833299999999951,France,Europe,5326.662,2
Lumpkin,14753,Valid,L6,340.0,Fell,1869.0,32.03333,-84.76667,"(32.03333, -84.76667)",5.831882477283517,1,-84.76667,United States of America,North America,3565.9502956,3
Lunan,14754,Valid,H6,2520.0,Fell,1980.0,24.8,103.3,"(24.8, 103.3)",7.83241092718792,1,103.3,China,Asia,2760.736,5
Lundsgård,14755,Valid,L6,11000.0,Fell,1889.0,56.21667,13.03333,"(56.21667, 13.03333)",9.305741456739437,1,13.033330000000008,Sweden,Europe,6258.0397044,2
Luotolax,14756,Valid,Howardite,885.0,Fell,1813.0,61.2,27.7,"(61.2, 27.7)",6.786716950605081,1,27.69999999999999,Finland,Europe,6812.784,2
Luponnas,14757,Valid,H3-5,14000.0,Fell,1753.0,46.21667,5.0,"(46.21667, 5.0)",9.546884034617923,1,5.0,France,Europe,5144.839704399999,2
Mabwe-Khoywa,14764,Valid,L5,540.0,Fell,1937.0,19.0,97.0,"(19.0, 97.0)",6.293419278846481,1,97.0,Myanmar,Asia,2115.08,5
Macau,15370,Valid,H5,1500.0,Fell,1836.0,-5.2,-36.66667,"(-5.2, -36.66667)",7.313886831633462,1,-36.66667000000001,Brazil,South America,578.864,7
Machinga,15371,Valid,L6,93200.0,Fell,1981.0,-15.21222,35.24222,"(-15.21222, 35.24222)",11.442513730229855,1,35.24222,Malawi,Africa,1693.4243304,7
Macibini,15372,Valid,Eucrite-pmict,1995.0,Fell,1936.0,-28.83333,31.95,"(-28.83333, 31.95)",7.59890045687141,1,31.94999999999999,South Africa,Africa,3209.7262956,7
Madhipura,15379,Valid,L,1000.0,Fell,1950.0,25.91667,86.36667,"(25.91667, 86.36667)",6.90875477931522,1,86.36667,India,Asia,2885.0437044,5
Madiun,15380,Valid,L6,400.0,Fell,1935.0,-7.75,111.53333,"(-7.75, 111.53333)",5.993961427306569,1,111.53332999999998,Indonesia,Asia,862.7299999999999,7
Madrid,15382,Valid,L6,400.0,Fell,1896.0,40.41667,-3.71667,"(40.41667, -3.71667)",5.993961427306569,1,-3.7166699999999935,Spain,Europe,4499.1837044,8
Mafra,15383,Valid,L3-4,600.0,Fell,1941.0,-26.16667,-49.93333,"(-26.16667, -49.93333)",6.398594934535208,1,-49.93333000000001,Brazil,South America,2912.8737044,7
Magnesia,15386,Valid,"Iron, IAB-sHL",5000.0,Fell,1899.0,37.86667,27.51667,"(37.86667, 27.51667)",8.517393171418904,1,27.516670000000005,Turkey,Asia,4215.3177044,2
Magombedze,15387,Valid,H3-5,666.6,Fell,1990.0,-19.48333,31.65,"(-19.48333, 31.65)",6.5036891917876805,1,31.65000000000001,Zimbabwe,Africa,2168.8842956,7
Mahadevpur,47361,Valid,H4/5,70500.0,Fell,2007.0,27.66667,95.78333,"(27.66667, 95.78333)",11.163382173096926,1,95.78332999999998,India,Asia,3079.8537044,4
Maigatari-Danduma,30751,Valid,H5/6,4629.0,Fell,2004.0,12.83333,9.38333,"(12.83333, 9.38333)",8.440312147080279,1,9.38333,Nigeria,Africa,1428.6062955999998,7
Malaga,15393,Valid,OC,150.0,Fell,1933.0,32.21667,-104.0,"(32.21667, -104.0)",5.017279836814924,1,-104.0,United States of America,North America,3586.3597044,3
Malakal,15394,Valid,L5,2000.0,Fell,1970.0,9.5,31.75,"(9.5, 31.75)",7.601402334583733,1,31.75,South Sudan,Africa,1057.54,7
Malampaka,15395,Valid,H,470.0,Fell,1930.0,-3.13333,33.51667,"(-3.13333, 33.51667)",6.154858094016418,1,33.516670000000005,United Republic of Tanzania,Africa,348.8022956,7
Malvern,15400,Valid,Eucrite-pmict,807.0,Fell,1933.0,-29.45,26.76667,"(-29.45, 26.76667)",6.694562058521095,1,26.766670000000005,South Africa,Africa,3278.374,7
Mamra Springs,15401,Valid,L6,1000.0,Fell,1927.0,45.21667,62.08333,"(45.21667, 62.08333)",6.90875477931522,1,62.08332999999999,Kazakhstan,Asia,5033.5197044,8
Manbhoom,15402,Valid,LL6,1700.0,Fell,1863.0,23.05,86.7,"(23.05, 86.7)",7.438971592395862,1,86.69999999999999,India,Asia,2565.926,5
Manegaon,15403,Valid,Diogenite,50.0,Fell,1843.0,20.96667,76.1,"(20.96667, 76.1)",3.9318256327243257,1,76.10000000000002,India,Asia,2334.0097044,1
Mangwendi,15405,Valid,LL6,22300.0,Fell,1934.0,-17.65,31.6,"(-17.65, 31.6)",10.012386799492118,1,31.599999999999994,Zimbabwe,Africa,1964.798,7
Manych,15409,Valid,LL3.4,3555.0,Fell,1951.0,45.81667,44.63333,"(45.81667, 44.63333)",8.176391596633795,1,44.63333,Russia,Europe,5100.3117044,8
Mardan,15414,Valid,H5,4500.0,Fell,1948.0,34.23333,72.08333,"(34.23333, 72.08333)",8.412054873292933,1,72.08332999999999,Pakistan,Asia,3810.8542956,5
Mariaville,15419,Valid,Iron,340.0,Fell,1898.0,42.71667,-99.38333,"(42.71667, -99.38333)",5.831882477283517,1,-99.38333,United States of America,North America,4755.2197044,3
Maribo,48973,Valid,CM2,25.81,Fell,2009.0,54.76183,11.46745,"(54.76183, 11.46745)",3.288774952247868,1,11.467449999999983,Open Ocean,Open Ocean,6096.0869156,1
Maridi,15421,Valid,H6,3200.0,Fell,1941.0,4.66667,29.25,"(4.66667, 29.25)",8.071218539969863,1,29.25,South Sudan,Africa,519.4937044,7
Marilia,15422,Valid,H4,2500.0,Fell,1971.0,-22.25,-49.93333,"(-22.25, -49.93333)",7.824445930877619,1,-49.93333000000001,Brazil,South America,2476.87,7
Marion (Iowa),15424,Valid,L6,28400.0,Fell,1847.0,41.9,-91.6,"(41.9, -91.6)",10.254179634797,1,-91.6,United States of America,North America,4664.308,0
Marjalahti,15426,Valid,"Pallasite, PMG",45000.0,Fell,1902.0,61.5,30.5,"(61.5, 30.5)",10.714439990727769,1,30.5,Russia,Europe,6846.179999999999,4
Marmande,15429,Valid,L5,3000.0,Fell,1848.0,44.5,0.15,"(44.5, 0.15)",8.006700845440367,1,0.1500000000000056,France,Europe,4953.74,2
Maromandia,15430,Valid,L6,6000.0,Fell,2002.0,-14.2,48.1,"(-14.2, 48.1)",8.699681400989514,1,48.1,Madagascar,Africa,1580.744,7
Maryville,15436,Valid,L6,1443.0,Fell,1983.0,35.8,-84.1,"(35.8, -84.1)",7.275172319452771,1,-84.1,United States of America,North America,3985.256,3
Mascombes,15438,Valid,L6,1000.0,Fell,1836.0,45.36667,1.86667,"(45.36667, 1.86667)",6.90875477931522,1,1.8666699999999992,France,Europe,5050.2177044,2
Mason Gully,53653,Valid,H5,24.54,Fell,2010.0,0.0,0.0,"(0.0, 0.0)",3.240245850604393,1,0.0,Unknown,Unknown,0.0,1
Mässing,15443,Valid,Howardite,1600.0,Fell,1803.0,48.13333,12.61667,"(48.13333, 12.61667)",7.378383712996714,1,12.61667,Germany,Europe,5358.2022956,2
Mauerkirchen,15446,Valid,L6,19000.0,Fell,1768.0,48.18333,13.13333,"(48.18333, 13.13333)",9.852246888342531,1,13.13333,Austria,Europe,5363.7682956,2
Mauritius,15447,Valid,L6,220.0,Fell,1801.0,-20.0,57.0,"(-20.0, 57.0)",5.3981627015177525,1,57.0,Open Ocean,Open Ocean,2226.4,7
Mayo Belwa,15451,Valid,Aubrite,4850.0,Fell,1974.0,8.96667,12.08333,"(8.96667, 12.08333)",8.486940148245216,1,12.08332999999999,Nigeria,Africa,998.1697044,7
Mazapil,15453,Valid,"Iron, IAB-sLL",4000.0,Fell,1885.0,24.68333,-101.68333,"(24.68333, -101.68333)",8.294299608857235,1,-101.68333,Mexico,North America,2747.7482956,0
Maziba,15454,Valid,L6,4975.0,Fell,1942.0,-1.21667,30.0,"(-1.21667, 30.0)",8.512381634419015,1,30.0,Uganda,Africa,135.43970439999998,7
Mbale,15455,Valid,L5/6,150000.0,Fell,1992.0,1.06667,34.16667,"(1.06667, 34.16667)",11.918397239722838,1,34.16667000000001,Uganda,Africa,118.7417044,4
Medanitos,15467,Valid,Eucrite-cm,31.0,Fell,1953.0,-27.25,-67.5,"(-27.25, -67.5)",3.4657359027997265,1,-67.5,Argentina,South America,3033.47,7
Meerut,15469,Valid,H5,22.0,Fell,1861.0,29.01667,77.8,"(29.01667, 77.8)",3.1354942159291497,1,77.80000000000001,India,Asia,3230.1357044,1
Meester-Cornelis,15470,Valid,H5,24750.0,Fell,1915.0,-6.23333,106.88333,"(-6.23333, 106.88333)",10.11662117122102,1,106.88333,Indonesia,Asia,693.8942956,7
Menow,15485,Valid,H4,10500.0,Fell,1862.0,53.18333,13.15,"(53.18333, 13.15)",9.259225769705994,1,13.150000000000006,Germany,Europe,5920.368295599999,2
Menziswyl,15486,Valid,L5,28.9,Fell,1903.0,46.81867,7.21817,"(46.81867, 7.21817)",3.3978584803966405,1,7.218169999999986,Switzerland,Europe,5211.8543444,1
Mern,15489,Valid,L6,4000.0,Fell,1878.0,55.05,12.06667,"(55.05, 12.06667)",8.294299608857235,1,12.066669999999988,Denmark,Europe,6128.165999999999,2
Meru,15491,Valid,LL6,6000.0,Fell,1945.0,0.0,37.66667,"(0.0, 37.66667)",8.699681400989514,1,37.66667000000001,Kenya,Africa,0.0,7
Merua,15492,Valid,H5,71400.0,Fell,1920.0,25.48333,81.98333,"(25.48333, 81.98333)",11.17606715383184,1,81.98333000000002,India,Asia,2836.8042955999995,4
Messina,15495,Valid,L5,2405.0,Fell,1955.0,38.18333,15.56667,"(38.18333, 15.56667)",7.785720896534624,1,15.566669999999988,Open Ocean,Open Ocean,4250.568295599999,8
Meuselbach,16626,Valid,L6,870.0,Fell,1897.0,50.58333,11.1,"(50.58333, 11.1)",6.769641976852503,1,11.099999999999994,Germany,Europe,5630.9362956,8
Mezel,16627,Valid,L6,1300.0,Fell,1949.0,45.76667,3.25,"(45.76667, 3.25)",7.170888478512505,1,3.25,France,Europe,5094.745704399999,8
Mezö-Madaras,16628,Valid,L3.7,22700.0,Fell,1852.0,46.5,25.73333,"(46.5, 25.73333)",10.030164255362632,1,25.733329999999995,Romania,Europe,5176.38,2
Mhow,16629,Valid,L6,350.0,Fell,1827.0,25.9,83.61667,"(25.9, 83.61667)",5.860786223465865,1,83.61667,India,Asia,2883.188,1
Mianchi,16631,Valid,H5,1100.0,Fell,1980.0,34.8,111.7,"(34.8, 111.7)",7.00397413672268,1,111.7,China,Asia,3873.9359999999992,5
Middlesbrough,16632,Valid,L6,1600.0,Fell,1881.0,54.56667,-1.16667,"(54.56667, -1.16667)",7.378383712996714,1,-1.1666700000000103,United Kingdom,Europe,6074.3617044,2
Mifflin,52090,Valid,L5,3584.0,Fell,2010.0,42.9075,-90.36556,"(42.9075, -90.36556)",8.184513753033722,1,-90.36556,United States of America,North America,4776.4629,0
Mighei,16634,Valid,CM2,8000.0,Fell,1889.0,48.06667,30.96667,"(48.06667, 30.96667)",8.987321812850125,1,30.966669999999997,Ukraine,Europe,5350.7817044,2
Mihonoseki,16635,Valid,L6,6380.0,Fell,1992.0,35.56833,133.22,"(35.56833, 133.22)",8.761080103868347,1,133.22000000000003,Open Ocean,Open Ocean,3959.4664956,5
Mike,16636,Valid,L6,224.2,Fell,1944.0,46.23333,17.53333,"(46.23333, 17.53333)",5.416988896265536,1,17.533330000000007,Hungary,Europe,5146.6942956,8
Milena,16640,Valid,L6,10000.0,Fell,1842.0,46.18333,16.1,"(46.18333, 16.1)",9.210440366976515,1,16.099999999999994,Croatia,Europe,5141.1282956,2
Millbillillie,16643,Valid,Eucrite-mmict,330000.0,Fell,1960.0,-26.45,120.36667,"(-26.45, 120.36667)",12.706850963741102,1,120.36667,Australia,Oceania,2944.414,7
Miller (Arkansas),16645,Valid,H5,16700.0,Fell,1930.0,35.4,-92.05,"(35.4, -92.05)",9.723223876851618,1,-92.05,United States of America,North America,3940.728,0
Minamino,16692,Valid,L,1040.0,Fell,1632.0,35.07833,136.93333,"(35.07833, 136.93333)",6.947937068614969,1,136.93333,Japan,Asia,3904.9196956,9
Mineo,16696,Valid,Pallasite,42.0,Fell,1826.0,37.28333,14.7,"(37.28333, 14.7)",3.7612001156935615,1,14.699999999999989,Italy,Europe,4150.3802956,1
