name,id,nametype,recclass,mass (g),fall,year,reclat,reclong,GeoLocation,log_mass,fall_binary,reclong_norm,country,continent,dist_equator_km,cluster
Singhur,23612,Valid,Pallasite?,14180.0,Found,1847.0,18.31667,73.91667,"(18.31667, 73.91667)",9.559658319461349,0,73.91667000000001,India,Asia,2039.0117044,0
Siratik,23615,Valid,"Iron, IIAB",1700.0,Found,1716.0,14.0,-11.0,"(14.0, -11.0)",7.438971592395862,0,-11.0,Mali,Africa,1558.48,3
Skookum,23623,Valid,"Iron, IVB",16000.0,Found,1905.0,63.91667,-139.33333,"(63.91667, -139.33333)",9.680406499268877,0,-139.33333,Canada,North America,7115.2037044,2
Slaton,23625,Valid,L4,1070.0,Found,1941.0,33.43333,-101.75,"(33.43333, -101.75)",6.976348070447749,0,-101.75,United States of America,North America,3721.7982956,2
Slobodka (of P. Partsch),23646,Valid,L6,950.0,Found,1838.0,55.0,35.0,"(55.0, 35.0)",6.85751406254539,0,35.0,Russia,Europe,6122.599999999999,0
Smith Center,23649,Valid,L6,1585.0,Found,1937.0,39.83333,-99.01667,"(39.83333, -99.01667)",7.368970402194793,0,-99.01667,United States of America,North America,4434.246295599999,2
Smithland,23650,Valid,"Iron, IVA",5000.0,Found,1839.0,37.13333,-88.4,"(37.13333, -88.4)",8.517393171418904,0,-88.4,United States of America,North America,4133.6822956,2
Smithonia,23651,Valid,"Iron, IIAB",69900.0,Found,1940.0,34.0,-83.16667,"(34.0, -83.16667)",11.154835234271214,0,-83.16667,United States of America,North America,3784.88,2
Smith's Mountain,23652,Valid,"Iron, IIIAB",5000.0,Found,1863.0,36.41667,-80.0,"(36.41667, -80.0)",8.517393171418904,0,-80.0,United States of America,North America,4053.9037044,2
Smithville,23654,Valid,"Iron, IAB-MG",70500.0,Found,1840.0,35.98333,-85.85,"(35.98333, -85.85)",11.163382173096926,0,-85.85,United States of America,North America,4005.6642956,2
Social Circle,23659,Valid,"Iron, IVA",99300.0,Found,1927.0,33.7,-83.7,"(33.7, -83.7)",11.505910920476012,0,-83.7,United States of America,North America,3751.484,2
Somervell County,23665,Valid,"Pallasite, PMG",11800.0,Found,1919.0,32.18333,-97.8,"(32.18333, -97.8)",9.375939552625749,0,-97.8,United States of America,North America,3582.6482955999995,2
Soper,23669,Valid,"Iron, ungrouped",3700.0,Found,1938.0,34.03333,-95.58333,"(34.03333, -95.58333)",8.216358332386156,0,-95.58333,United States of America,North America,3788.5902956,2
South Bend,23675,Valid,"Pallasite, PMG",2500.0,Found,1893.0,41.65,-86.21667,"(41.65, -86.21667)",7.824445930877619,0,-86.21667,United States of America,North America,4636.477999999999,2
South Byron,23676,Valid,"Iron, ungrouped",6000.0,Found,1915.0,43.03333,-78.03333,"(43.03333, -78.03333)",8.699681400989514,0,-78.03333,United States of America,North America,4790.470295599999,2
Spearman,23687,Valid,"Iron, IIIAB",10400.0,Found,1934.0,36.25,-101.21667,"(36.25, -101.21667)",9.249657234353132,0,-101.21667,United States of America,North America,4035.35,2
Springfield,23689,Valid,L6,3200.0,Found,1937.0,37.38333,-102.63333,"(37.38333, -102.63333)",8.071218539969863,0,-102.63333,United States of America,North America,4161.5122956,2
Springfield (b),23690,Valid,L,229.3,Found,1937.0,37.48333,-102.67667,"(37.48333, -102.67667)",5.439382806826639,0,-102.67667,United States of America,North America,4172.6442956,2
