log_mass,reclat,reclong_norm,year,cluster
8.482450218516936,-18.575452000000002,127.57072228571428,1934.2571428571428,0
5.9480409010447435,35.8139096875,-92.56420982291664,1933.9270833333333,1
8.477545883004169,47.77181,15.21899465909091,1840.8693181818182,2
7.504399997976188,47.744841048951045,22.567926993006992,1948.7482517482517,3
7.534321815038286,28.1280626344086,98.57921397849464,1929.3924731182797,4
8.171095354656169,42.91435846153846,42.06153769230769,1537.7692307692307,5
7.548664282831474,-12.273360721804504,-5.676206872180451,1947.2406015037593,6
10.96433069449241,34.13165196581197,52.61338085470086,1947.940170940171,7
3.851983684155547,33.0845912345679,47.070473950617284,1891.3827160493827,8
9.870082428834289,37.868498435294114,-93.5685778470588,1922.729411764706,9
